record_id,post_title,post_url,post_views
"recjLJTH3i7joD0xz","Claude Sonnet 4 + Gamma : productivity hack","https://x.com/aftahi_ai/status/1933820510506492086",""
Open this thread to discover the results:","https://x.com/aftahi_ai/status/1938464742991175836",""
"recigHMcmMfcFxz31","Incredible what AI can do!","https://x.com/ai_for_success/status/1865024369011102055",""
"recouRSDZx4DTN3sV","500 million people worldwide use PowerPoint, 35 million presentations are created daily.","https://x.com/ai_for_success/status/1875182472553799969?t=BeSBVB-UAAFnneF9K917iw&s=19",""
"reczitvx4hc7kIm0Z","Found a easy way to convert any blog post or website content into a perfect PowerPoint presentation ","https://x.com/ai_for_success/status/1878804563056365926?t=wKrPuGzykMNWCtaJ9fWZuw&s=19",""
"recwysVlYRV3AsoVg","Still creating slides manually? There's an AI for that!","https://x.com/ai_for_success/status/1888199701331333173",""
"reckyVys4FudGv9in","Grok-3 DeepSearch + Gamma : productivity hack 🔥  ","https://x.com/ai_for_success/status/1896195790827339990",""
"recPKoEHHbbJqCbQU","Grok-3 + Gamma Social : productivity 🔥","https://x.com/ai_for_success/status/1903621646138958046",""
"recWdD5RfxphtfUaj","Launch post","https://x.com/ai_for_success/status/1907480475892920722",""
"recI84lrrMdIoAePx","This AI tool can save you hours","https://x.com/ai_for_success/status/1912183011355009058",""
"recOLcK1Hw4cOIe8B","Still making slides manually? There is AI for that ","https://x.com/ai_for_success/status/1920351449168687147",""
"rec8pRkhzKSQfui3C","Lindy Quote","https://x.com/ai_for_success/status/1928534479347294302",""
"rec9zFUaALvzib8Tp"," by Genova Labs just launched.","https://x.com/ai_for_success/status/1940095460905296110",""
"recLzvoWc4gC2IRHO","🚨 Norton launches Neo Browser : AI-native browser that actively works alongside you","https://x.com/ai_for_success/status/1948792042815123677",""
"rec8ice5oY7j4LFWF","Gamma is probably the best contender to take on Canva - which is one of the largest privately held software companies. ","https://x.com/AiBreakfast/status/1885294996498075783",""
"rec6SZQxiekeNcrLb","PowerPoint can't match Gamma's presentations!","https://x.com/AIBuzzNews/status/1857306350595809780",""
@MeetGamma!","https://x.com/AIBuzzNews/status/1859482499174297734",""
"rechyU9ZR07RKwVOO","Perplexity + Gamma = $10,000 playbooks.","https://x.com/AIBuzzNews/status/1895370371735380112",""
"recjpNYqb7hBK4oZG","Most people don’t realize how easy it is to make money with AI.","https://x.com/AIBuzzNews/status/1897191363185152185",""
"recGboSg8U6nu9Vi8","PowerPoint's AI presentations are outdated.","https://x.com/AIBuzzNews/status/1900814318335299586",""
"rec26oN13j4rS1wNu","You don’t need PowerPoint, Wix, or Canva anymore.","https://x.com/AIBuzzNews/status/1912161841888854147",""
"recZo5W7cbku7sHuB","Before: 4 hours for a PowerPoint.","https://x.com/AIBuzzNews/status/1916102149739528587",""
"recqPvzDEIOxGZMYc","10 AI Tools That Can Handle Your Tedious Work For You","https://x.com/AIBuzzNews/status/1917465947360682141",""
"recXtzb9gQP85uT6B","Still spending hours on slide decks and website builders?","https://x.com/AIBuzzNews/status/1923246497207861739",""
"recHDIDSp6MpDMqRf","Canva isn’t the king of content anymore","https://x.com/AIBuzzNews/status/1925772282711957548",""
"rec1oiFk8rTdD2JXg","I stopped wasting hours making slides.","https://x.com/AIBuzzNews/status/1928360676428239128",""
"recx6eKOxWUoOs88v","Build a Full Course on Autopilot With AI You can earn roughly $ 3,000-$ 5,000 every month by selling digital expertise, and you don’t have to write scripts, record videos, or design pages yourself.","https://x.com/AIBuzzNews/status/1934554764844376253",""
They build decks on Gamma daily.","https://x.com/AIBuzzNews/status/1936685397855072333",""
"recvgwg5kS3YEWKYK","Stop ipenong 37 tabs to finish one task.","https://x.com/AIBuzzNews/status/1948779891534496216?t=cPS0-chCyPVAffSyqNhvSA&s=19",""
"recbVsqS4CEyUy5Qy","18-year-olds are earning $1,000s/month selling AI-generated slides!","https://x.com/AiContentRebel/status/1892876445837406469",""
"recsfU91SUApIYrtj","Zohi + Base44+ Amplification X","https://x.com/aiscout22/status/2045391951885914326",""
"rect9ms1WKK41O4bv","AI just killed PowerPoint.","https://x.com/aitrendz_xyz/status/1896868202342408702",""
Here’s what I found: 👇","https://x.com/AIwithArsalan/status/1857037865273712762",""
 The results might surprise you: 👇","https://x.com/AIwithArsalan/status/1859930324425375854",""
Here are the top 5 designs created by http://Gamma.app (OPEN THIS):","https://x.com/AIwithArsalan/status/1861742320900878504",""
"recCTLQVSaMsk3Xdb","After trying dozens of AI tools, I finally found one that actually makes my work faster and easier!","https://x.com/AIwithArsalan/status/1882760755663245480",""
"recUZrBmzrKReHx9J","Only senior citizens are still using PowerPoint!","https://x.com/AIwithArsalan/status/1884210510079602777",""
"rec3u4tgSqe2yKpO6","Freelancers are making thousands for designing presentations on Fiverr!","https://x.com/AIwithArsalan/status/1890370523265450116",""
"recef5TY2LZ5s6RXO","I just built a website faster than making a cup of coffee!","https://x.com/AIwithArsalan/status/1900517554571104763",""
"recXQBlXO6BHWWAU6","Only my grandpa has enough time to create manual presentation!","https://x.com/AIwithArsalan/status/1902665939457638785",""
Here’s how it works: 👇","https://x.com/AIwithArsalan/status/1909550586028278210",""
Here’s How: 👇","https://x.com/AIwithArsalan/status/1912159048809763273",""
Here’s how you can too: 👇","https://x.com/AIwithArsalan/status/1925133303478399316",""
"recYvaQvVvJfZKJEQ","Quote RT Lindy AI","https://x.com/AIwithArsalan/status/1928532188557095003",""
Now, I do it in under 2 minutes — thanks to this AI-powered Canva alternative.👇","https://x.com/AIwithArsalan/status/1933107730291757364",""
"rechHwzSyEiBItSfT","🚨 Breaking: You don’t need to hire a developer anymore!","https://x.com/AIwithArsalan/status/1948729136337535268",""
"recow2pQ12HN19tZC","𝐆𝐚𝐦𝐦𝐚 𝐯𝐬. 𝐂𝐨𝐏𝐢𝐥𝐨𝐭","https://x.com/aiwithghotai/status/1858434969883787298",""
"recDfAXMMKcv6w3J8","Top 5 designs crafted by Gamma's AI","https://x.com/aiwithghotai/status/1861344688768196760",""
"reccABbEbSHR63tzn","Single post","https://x.com/aiwithghotai/status/1890759406310101246?s=46",""
"recr13c1si9jzp9jC","Gamma dedicated thread","https://x.com/aiwithghotai/status/1892545400395251854",""
"recpWV1ve3xzet164","Ghotai","https://x.com/AIwithGhotai/status/1901513598096077047",""
"rectALWbWv6gitXGo","Economy change ","https://x.com/aiwithghotai/status/1902384870485381182?s=46&t=mH4qI38aTNVo7q8VeHDEEg",""
"recjMmxVKF2A95l45","Attention all business owners, students, and creators: this one's for you!","https://x.com/AIwithGhotai/status/1905921087608614966",""
"recGOBOKZTInWpq8R","Van cleef history ","https://x.com/aiwithghotai/status/1915039373680325003",""
"recE9h7WKPj5HQU2c","Gamma single post ","https://x.com/aiwithghotai/status/1925866389950148942?s=46&t=mH4qI38aTNVo7q8VeHDEEg",""
"recA2yHgugQSaL0Mx","Gamma dedicated thread","https://x.com/aiwithghotai/status/1927730780224270343?s=46&t=mH4qI38aTNVo7q8VeHDEEg",""
"recCAfEbIXpeDyF0n","Lindi Ai ","https://x.com/aiwithghotai/status/1928528570361524596",""
"recG9WEdpQgGScGD8","Dedicated","https://x.com/aiwithghotai/status/1938584688370819417?s=46&t=mH4qI38aTNVo7q8VeHDEEg",""
"rec4fHPJunLDYxXT3","Single post ","https://x.com/aiwithghotai/status/1938928714198458636",""
"rec5cuPsOEoNrn1RR","AI is transforming the way we browse the internet.","https://x.com/AIwithGhotai/status/1947343060037472279",""
"receYXcdN6sIgrfeV","ghotai + Humwork + Amplification X","https://x.com/aiwithghotai/status/2044450553967837434",""
"recbRZp7G9nPHpflZ","ghotai + Base44+ Amplification X","https://x.com/aiwithghotai/status/2045164634420715975",""
"recT3LYQ9ufwURNTr","Not Jerome Powell + Humwork+ Amplification X","https://x.com/alifarhat79/status/2044453424335401216?s=46&t=qVtVgGxeVhysKZ6rMiUlJQ",""
"recnfVOncIe2kVQEj","I've tried hundreds of AI tools.","https://x.com/alifcoder/status/1882352611875283060",""
"rech91uW4V7at5OUm","Gamma","https://x.com/alifcoder/status/1888829627671716104",""
"recvGuNBHQvSDyvAN","Gamma","https://x.com/alifcoder/status/1890032410743775586",""
"reckzxNi1SJ9NB8oh","Gamma","https://x.com/alifcoder/status/1890362970288582756",""
"recc4rmukqNbvkGWZ","Gamma","https://x.com/alifcoder/status/1890996316240806064",""
"rec78zmiK9mOQ0l1Z","Gamma","https://x.com/alifcoder/status/1891500768412516847",""
"recUUCU74gjrEKHp3","Gamma","https://x.com/alifcoder/status/1892497298757927316",""
"recAORzJXqTHBzZy6","Gamma","https://x.com/alifcoder/status/1892583783632982047",""
"rec0Krz0nyGeM2nhj","Gamma","https://x.com/alifcoder/status/1895820326866723058",""
"recvT5BdzuHoaTGma","Grok- 3 + Gamma = Your New Superpower 🚀","https://x.com/alifcoder/status/1899783901079580679",""
"recN83H6buAtVmyLo","This AI tool allows you to turn a simple text into a professional side deck.","https://x.com/alifcoder/status/1904844587736457253",""
 = your secret presentation assistant🧵","https://x.com/alifcoder/status/1912191818407768073",""
"recjzOyqaOodvMRJd","You’re the PowerPoint GOAT.","https://x.com/alifcoder/status/1915359630106194233",""
"recBcy83IDPRe266w","Gamma2.0","https://x.com/alifcoder/status/1922216684267700734",""
"reczXY0cB0tT7M80M","Your last presentation put people to sleep.","https://x.com/alifcoder/status/1926598109640998938",""
@GetLindy.","https://x.com/alifcoder/status/1928568326298677631",""
"reczzTECo5lbLKpGY","Stop wasting time on outdated tools.","https://x.com/alifcoder/status/1936016465670635618",""
"recyYXxG4kBYdByn7","Claude Sonnet 4 + Gamma : productivity hack","https://x.com/alifcoder/status/1938819066489430320",""
"recfIESSRhwagf0R0","Sanchoy Hossain + FlashLabs + Amplification X","https://x.com/alifcoder/status/2016907373726826618?s=46",""
"recwjTarEbHXm87xY","I don’t understand why people still use PowerPoint for making presentations!","https://x.com/aliscodes/status/1848756724691267870",""
"recoFjVjPzdUVplDe","I spend hours online finding gold.","https://x.com/aliscodes/status/1922908811389546938",""
"rec11lzn59MxhAEh6","10+ years of experience. Still got replaced.","https://x.com/aliscodes/status/1927286450594177219",""
"rec6SDlDAHYyiiJT0","George Amit + Humwork+ Amplification X","https://x.com/AmitXAi/status/2044490576624808278?s=20",""
Are you next?","https://x.com/amkhanniazi/status/1850122668659580979",""
"recc7ws314thEY311","This is the social media of vibe-coding.","https://x.com/AngryTomtweets/status/1947703343247462885",""
"recegHfuNPo1iyt27","Tanvir + Humwork+ Amplification X","https://x.com/anjum_ai/status/2044487883856466157",""
"recOoMw7PXBW4dPYT","Anuj + Humwork+ Amplification X","https://x.com/anujcodes_21/status/2044455793173663997?s=20",""
"rec4x6cSUKzfwraj4","Archy gupta + Base44+ Amplification X","https://x.com/archygupta22/status/2037231719674503461?s=46",""
"rec74SitYbjNWh8oZ","AI is spiraling out of control.","https://x.com/arnill_dev/status/1850054309490327693",""
Here are 12 courses you don't want to miss in 2024:","https://x.com/arnill_dev/status/1857049768700096610",""
Let's compare Gamma and CoPilot:","https://x.com/arnill_dev/status/1861280770041749651",""
Here are Seyfried's 7 MOST important rules for preventing cancer:","https://x.com/arnill_dev/status/1888805546305991147",""
Here are the 3 simple steps to follow ↓","https://x.com/arnill_dev/status/1890308507372847450",""
Number 5 is a little strange.","https://x.com/arnill_dev/status/1891036191413489871",""
"recexQAGX5aH49WEe","Aryan Mahajan + GoMarble AI+ Giveaway post Linkedin","https://x.com/aryanxmahajan/status/2047043698350035114?s=46",""
"recFakB5MCOn3FMFF","Forget LinkedIn","https://x.com/atulkumarzz/status/1891880010237214777",""
"recshMG7VTmnCcC5T","Ready to earn $2,500 a day freelancing with Perplexity and ","https://x.com/atulkumarzz/status/1894252780686381446",""
"recyh5EzlDK252TCV","This is WiLD !!!","https://x.com/atulkumarzz/status/1901119089747415403",""
"recEHxagJZJd7pqJy","Craft eye-catching 👀 Presentations in seconds,","https://x.com/atulkumarzz/status/1902586084061786237",""
"recv7z7H4rqq6BqJF","Google loves keeping valuable websites from you a secret.","https://x.com/atulkumarzz/status/1902970232878272951",""
"recYhVMZYEXYGYSWT","PowerPoint's reign is officially over.","https://x.com/atulkumarzz/status/1912172847092621480",""
Ditch PowerPoint❌","https://x.com/atulkumarzz/status/1915712215916962078",""
"recaFNQkC6QxaOxOD","PowerPoint is officially outdated.","https://x.com/atulkumarzz/status/1923394232850731446",""
you’re already behind.","https://x.com/atulkumarzz/status/1928560903001403487",""
"recR9JfiTVc5lSO39","No more overpriced freelancers. No more design headaches.","https://x.com/atulkumarzz/status/1932765274547368383?t=mpKXasMz0ZdzSZqqVfFMhQ&s=19",""
"recoEa4yZLi0yp678","If Canva feels like riding a bike, Gamma is a Tesla.","https://x.com/atulkumarzz/status/1934982869220516340?t=zS_g7kiEIzvqXgOUwGmj1w&s=19",""
💀 I used to spend hours researching + designing decks.","https://x.com/atulkumarzz/status/1937489224762294731?t=BPhn66WMXlMgJSvdoc4Krg&s=19",""
""Alisa"" by Genova Labs just dropped — and it’s insanely good.","https://x.com/atulkumarzz/status/1940359900225470923?t=PZNFGy_h_2JXH5FpkT3vBg&s=19",""
"recgavurdcrWlMlUv","This is the social media of vibe-coding.","https://x.com/atulkumarzz/status/1947705492366889181?t=-c6DcKC4mq6gbg67u-hW4A&s=19",""
"recyUbPucCjY3d3yw","The browser just got a brain.","https://x.com/atulkumarzz/status/1948786388167786653?t=-lzDqmVGj36R_rcED3n61w&s=19",""
"recdpGwIWH1aeHUJ3","Early-stage founders, listen up","https://x.com/atulkumarzz/status/1950967227056042212",""
"recxMZBXCJnQEzjlr","Atul Kumar + Humwork+ Amplification X","https://x.com/atulkumarzz/status/2044448580900184120",""
"recBpWZ4aWcjs0xBT","Mikael (@BacardiCapital) + Base44+ Amplification X","https://x.com/BacardiCapital/status/2045243295190675474?s=20",""
"recTPeTCQs2FZnxRZ","Shraddha Bharuka  + Humwork+ Amplification X","https://x.com/BharukaShraddha/status/2044451953833554020?s=20",""
"recXpPkmqFCjj8yhI","Spencer Baggins + Humwork+ Amplification X","https://x.com/bigaiguy/status/2044449986964750516",""
"recxXYOcPQUgqVJt2","Burak + Humwork+ Amplification X","https://x.com/brkguzel/status/2044486360539541711",""
"recVOwJIcbXEdwfFG","In 2020, three colleagues quit their jobs to build a next-gen presentation platform.","https://x.com/BusinessNerd_/status/1879536718472430018",""
"recqSIusfLm52fWUm","Chris + Humwork+ Amplification X","https://x.com/chatgpt21/status/2044480890949038420?s=46&t=IlfqhmqkNtCFojJSEVvrFQ",""
"recSwPxmKhagq8APi","Chris Lang + GoMarble AI+ Giveaway post X","https://x.com/ChrisLangSocial/status/2046982547037692115",""
"reczrxYX6jYlJ4bXp","No Experience? No Problem!","https://x.com/code_bykuti/status/1894344646706565524",""
"reclmSnI3T6KXVDQt","📊 Did you know? You can easily make $1,500/Day as a freelance using Perplexity and ","https://x.com/code_bykuti/status/1895329376708989009",""
"recvDBtf5ZTl6HmQl","AI Tools to Supercharge Your Workflow!","https://x.com/code_bykuti/status/1895790403695362510",""
"recKLSgyEsNjUD6uQ","100 AI tools to finish hours of work in minutes:","https://x.com/CodeByPoonam/status/1884532966757691892",""
"recRW3cvmfps5rmSZ","Goodbye Powerpoint","https://x.com/CodeByPoonam/status/1895783087319196090",""
"recjdwrRqetiLNYfq","Gamma","https://x.com/codedailyML/status/1857642415588245558",""
"recfZfWU0RyNBQAhQ","Gamma","https://x.com/codedailyML/status/1859454773738733629",""
"recFNwvSUkuWnYuGU","Gamma","https://x.com/codedailyML/status/1861633665093997035",""
"recK7oNpqV4ojSTuM","Gamma","https://x.com/codedailyML/status/1862729105159938345",""
"recroSeMJAq8s4UAX","Gamma","https://x.com/codedailyML/status/1922892320250253411",""
"recQPGfaBTE9KkwdW","Gamma ","https://x.com/codedailyML/status/1924359067083894858",""
"recjGFGbHsHv7Acci","Gamma","https://x.com/codedailyML/status/1926889554365067386",""
"rectQmWgUNQysVhbN","Lindy","https://x.com/codedailyML/status/1928544431231185268",""
"recrArbrPbP4Ad5Bn","Gamma","https://x.com/codedailyML/status/1935679618205573172",""
"reccMMzK5NTbQtJTC","https://x.com/codedailyML/status/1938269313942884551","https://x.com/codedailyML/status/1938269313942884551",""
"recfk4lTkGAwstJoa","Microsoft ($MSFT) vs @MeetGamma","https://x.com/codemindtanvir/status/1861657215595356297",""
"recKs9EpFmUz1IK0J","If you’re interested in the latest AI innovations you need to know about @meetgamma","https://x.com/codemindtanvir/status/1862388091702726885",""
5 daily habits that prevented brain aging: 🧵","https://x.com/codemindtanvir/status/1866351170283033045",""
You Won't Believe Which One Made #3!","https://x.com/codemindtanvir/status/1866708877217333363",""
Here are 15 amazing things Google Maps can do:","https://x.com/codewith_antor/status/1888540166438137908",""
- @MeetGamma-   http://gamma.app","https://x.com/codewith_antor/status/1889330409512788312",""
Say goodbye to slow and costly platforms like WordPress, Webflow, and Squarespace.","https://x.com/codewith_antor/status/1890022662044533212",""
Here’s how:👇","https://x.com/codewith_antor/status/1890413683895075185",""
Make money with Gamma and Fiverr.","https://x.com/codewith_antor/status/1892553043096531287",""
"recpLmU3d2mgk3tIQ","🏹 Hey there! Did you know that you can earn up to $1,500 a day as a freelancer using Perplexity and @MeetGamma","https://x.com/codewith_antor/status/1892849693719482559",""
Look at the brutal emails from the CEOs of Microsoft, Apple, Tesla and Facebook:","https://x.com/codewith_antor/status/1894015369834266705",""
","https://x.com/ColoursOfBharat/status/1918924300565811463",""
","https://x.com/ColoursOfBharat/status/1929070660917117165",""
","https://x.com/ColoursOfBharat/status/1931319272397213858",""
"rec7tWekP3gkud5Uy","Thread of the Most Mysterious Places on Earth🧵","https://x.com/ColoursOfBharat/status/1934150939277168785",""
"recpnQpbhEf6tdY4J","Alejandro Martinez | IA + Base44+ Amplification X","https://x.com/copyelpadrino/status/2045588758049796140",""
"recclFkphmI3I9c3E","Chase X GoMarble AMP ","https://x.com/dailycopywriter/status/2023784650544652690",""
"reczHUqkGmSWEiVNd","A year ago, building a landing page took days.","https://x.com/Damn_coder/status/1882741922718244969",""
"recAgNKL2hi9KxIr3","100+ AI tools to finish months of work in day.","https://x.com/Damn_coder/status/1891714886646059126",""
"recmMoU5zaOrh62Ff","🚨 Breaking News:","https://x.com/Damn_coder/status/1894613839020528102",""
"rec7rTSTzm1h5tTNv","🚨 Stop wasting 4 hours on slides.","https://x.com/Damn_coder/status/1900412205503570113",""
"rec4bV0GH6BlA39E0","100+ AI tools to finish months of work in day.","https://x.com/Damn_coder/status/1901222947131682911",""
"rechfWLBrcvcSG1em","No more hiring designers or wasting hours in Canva.","https://x.com/Damn_coder/status/1904398228407431221",""
Here’s how:👇","https://x.com/Damn_coder/status/1910280352083640439",""
Here’s how it works 👇","https://x.com/Damn_coder/status/1914633557982781687",""
The 3-step workflow every pro should steal:","https://x.com/Damn_coder/status/1927239412200407204",""
Just clean, simple design in your browser.","https://x.com/Damn_coder/status/1928045700534915094",""
 AI agents.","https://x.com/Damn_coder/status/1928691751801204960",""
"recb7QnPWoZH3VuTq","🚨 This AI duo just killed hours of manual work.","https://x.com/Damn_coder/status/1934124621344932248",""
 update just changed the game.","https://x.com/Damn_coder/status/1940414820366614982",""
"recOU6iUg7XVh3wcu","🚨 BREAKING: The first social network for AI builders just launched.","https://x.com/Damn_coder/status/1948755759749365797",""
"recxze4rxfn7ergW7","The way we browse the internet hasn’t changed in 20 years.","https://x.com/Damn_coder/status/1948792359279579567",""
8 features you might not know about that are coming in 2025: 🧵","https://x.com/details_with_ai/status/1895145988396065290",""
"recSqKZpGSKs9O0rk","A year ago, creating a landing page took me DAYS.","https://x.com/details_with_ai/status/1895381520564826128",""
Number 4 will change how you use your phone.","https://x.com/details_with_ai/status/1899502238680469793",""
Here's how he rewired his brain to speak directly to your soul: 🧵","https://x.com/details_with_ai/status/1900422981962391762",""
10 banned gadgets that will shock you: 👇","https://x.com/details_with_ai/status/1915304001043874156",""
Here’s the story of the Xerox Thieves. [Open the Thread] 🧵","https://x.com/details_with_ai/status/1916795406614512082",""
Here are 6 wild examples:","https://x.com/details_with_ai/status/1940334812667212248?s=46",""
"recpTIvpyy9APmeEq","Dipti Sharma + Humwork+ Amplification X","https://x.com/Diptish09/status/2044447509570060582?s=20",""
"recXhuOw43wlLCYwg","Top AI tools to use in 2025:","https://x.com/Div_pradeep/status/1881977093761749192",""
"rec0mavXE2HieWZJ5","Stop spending hours building websites from scratch.","https://x.com/Div_pradeep/status/1883072250028691628",""
"recHbHZPHcYMnXOeJ","5 ways to start making money with AI: ↓","https://x.com/Div_pradeep/status/1892865456811454945",""
"recmpyaWqZ2q4WKCp","If you’re still building slides manually in 2025…","https://x.com/Div_pradeep/status/1900836054602776822",""
"recXmNz1RS01Uq5wp","🚨 BREAKING: AI just killed manual design.","https://x.com/Div_pradeep/status/1903368042731680019",""
"rec7L6VRQfLSmZMJD","🚨 BREAKING: The content creation game just changed.","https://x.com/Div_pradeep/status/1910256968067092593",""
"reczCfYFITioBlzxD","Don’t use Canva.","https://x.com/Div_pradeep/status/1912163834292584860",""
","https://x.com/Div_pradeep/status/1923039930516914195",""
The future of presentations is here → http://gamma.app","https://x.com/Div_pradeep/status/1925219368415441100",""
AI isn’t optional anymore. It’s the cheat code smart founders are using.","https://x.com/Div_pradeep/status/1928696130151342231",""
","https://x.com/Div_pradeep/status/1934653207416127787",""
Here’s how I did it using AI, with no manual slides or messy notes","https://x.com/Div_pradeep/status/1938283716792688668",""
"recozpfjPUE6GLxhW","🚨 Browsing will never be the same.","https://x.com/Div_pradeep/status/1948793435621917023",""
"recQByRPEB0Ll7RMo","Gamma","https://x.com/DreaMm_Err/status/1928355296038244521",""
"recgLLTWxtXszZxyn","gamma","https://x.com/DreaMm_Err/status/1928724613766230375",""
"recXVJ6SE0BsIen99","Degen_CPA + Humwork+ Amplification X","https://x.com/drewvento/status/2044462340763009202?s=46",""
"recOcudLWuJH9JxFz","Jonathan Snow - X ","https://x.com/drsnow/status/2013353694016802865?s=20",""
"recL3Bs11OGtR1eJg","Crazy Things from the Past ~ A Thread 🧵","https://x.com/earth_tracker/status/1897533811639959827?s=46",""
"rec0NUoykJlDosJ9v","What prison cells look like in some countries.🧵","https://x.com/earth_tracker/status/1903770341207335045?s=46",""
"recIbIw7kjiGrI9g3","The World’s most surreal & beautiful train rides","https://x.com/earth_tracker/status/1904860109161062799?s=46",""
Open the Thread and be Amazed 🩷","https://x.com/earth_tracker/status/1913554099078857124?s=46",""
"recr9Mq6OSgNOwuLQ","The Most Beautiful Cities in the World. ","https://x.com/earth_tracker/status/1914554817378124187?s=46",""
"rec1792KA5NuUdOrL","Places on Earth that look too magical to be real🧵","https://x.com/earth_tracker/status/1915247804747829442?s=46",""
"recplVDme2krmpXpJ","Explore Incredible Features You Might Not Have Known That Exist in Japan.🧵","https://x.com/earth_tracker/status/1923563060964241558?s=46",""
"recAzuG7SwNP4V66p","Places on Earth that look too magical to be real🧵","https://x.com/earth_tracker/status/1924004190671495581?s=46",""
"recRfxzGqpqN0Bweu","Incredible Japan 🇯🇵🧵","https://x.com/earth_tracker/status/1927203651287670897?s=46",""
"reczfcIsAr1uZrq33","The most unique traditions around the world.🧵","https://x.com/earth_tracker/status/1927991381735211363?s=46",""
"rec58qRVGJNc06vdW","Thread of the Most Mysterious Places on Earth🧵","https://x.com/earth_tracker/status/1931538612501225900?s=46",""
"recqAhdr3abr4LaRd","Alternate view of Iconic Landmarks. 🧵","https://x.com/earth_tracker/status/1934444781460922751?s=46",""
"recaTNd5n3KxYrTGp","The most unique traditions around the world.🧵","https://x.com/earth_tracker/status/1934836687512957032?s=46",""
"rec0WiGPeEz2LpBTc","Gamma app","https://x.com/ecomchasedimond/status/1848747558115426467",""
"rece2ln3WBGab0nKE","Chase X Gamma ","https://x.com/ecomchasedimond/status/1927738707408515567",""
"recEeWadYuc9TaHdC","Chase Lindy","https://x.com/ecomchasedimond/status/1935727092752433613",""
"recvbHcv1WmMm1cAP","Gamma Twitter/X Post","https://x.com/ecomchasedimond/status/1939709202408280222",""
