Creator Name,Role,Comment,LinkedIn URL
Carin Oliver,"Founder | Official AI Ladder | Wine Marketing Wingwoman | From Lease To Launch™ | 🔥🐎 ♐",The 40% leaner operations stat is going to be the number that gets cited in every boardroom conversation about AI adoption this year.,https://www.linkedin.com/in/carinoliver/
Erica Abrahams,"Marketing Director | Head of Growth",Huge props for building through the hard parts.,https://www.linkedin.com/in/erica-abrahams-527004293/
Jennifer Mihajlov,"Chief Commercial Officer | CPG Revenue Growth | Retail, Distributor & Broker Channels | Go-to-Market Strategy | Sales Leadership | SaaS-Enabled Commercial Operator | Brand Advisor",This is a very strong validation of the vision.,https://www.linkedin.com/in/jennifer-mihajlov-86612019/
Daniel Wattenhofer,"Global court-proof copyright registration service to protect from AI-stolen ownership | For Music, Artists, Lawyers, Finance & Tax, Airlines, Healthcare, Organizations & Government | Multiple Startup Founder 20+ Yrs","The AI coworker space just got its defining moment. Viktor raising $75M with this kind of traction makes it the clear category leader right now.",https://www.linkedin.com/in/danielwattenhofer/
Daniel Davidson,⚡️ I review Powerful Websites and Apps that help you work Smarter and Achieve more | Content Creator - 850k+ subs across all socials | Email me for collab: partnership@daniel-dan.biz📩,The category just got much more interesting.,https://ae.linkedin.com/in/daniel-davidson1
Ryan C Meinzer,"Engineering Leader & Systems Architect | 25 years of complex, high-stakes systems. AI just made the problems more interesting.",There is something powerful about a product that was born from years of failure and iteration. Those are always the ones that end up winning.,https://www.linkedin.com/in/ryancmeinzer/
James William Portman JP,"Advising private clients on off-market opportunities from Dubai and beyond","The best part of this entire announcement is the authenticity. Real struggle, real failures, real persistence, and now real results to show for everything.",https://www.linkedin.com/in/jwportman
Joe Carvin,Founder and Executive Director at One World Future Ready,The decision to keep going when users did not even want to test the product took enormous courage. That moment was the real inflection point.,https://www.linkedin.com/in/joe-carvin-47619181
Sofia Bakker,Marketing Specialist at Avenga,AI that actually removes work is where the real value is.,https://www.linkedin.com/in/sofia-bakker-02275520a/
Lindsey Frances,"Leadership & Wealth Psychologist | Advising High Achievers | Create Purpose & Build Legacy | Clinical Sophrologist | Success Addiction Coach | Behaviour Change Workshops & Retreats | RICH SIMPLE HUMAN PODCAST",10 weeks to this scale is almost unreal. Well done.,https://www.linkedin.com/in/lindseyfrances
Eko Cahyo Nugroho S.Kom. M.T.I.,"Lecturer of Computer Science | Technology Section Head @ Bina Nusantara University | AWS Certified Solutions Architect – Associate","Congratulations to the founding team and early believers. The path from experiment to $75M Series A is a story worth telling for years to come.",https://www.linkedin.com/in/eko-cahyo-nugroho-s-kom-m-t-i-647bb077/
Sailesh Dev,"Co-Founder @Bloom","Huge congratulations, this is a brilliant outcome.",https://in.linkedin.com/in/saileshdev
Lance Robinson,"CTO, Co-Founder at PointeOS",That kind of ARR growth is hard to ignore.,
Ryan Wimpey,"I lead the amazing franchisees of Tip Top K9, with a focus on powerful marketing, back-end support, and developing people, all to help our locations spread the magic of the Tip Top K9 method across the U.S.",Companies saving millions while sourcing new revenue simultaneously is the kind of dual value proposition that creates extremely loyal customer bases.,https://www.linkedin.com/in/ryan-wimpey-849287316/
Stephen Quadras,Bartender at British Brewing Company,The revenue numbers here are seriously impressive.,https://in.linkedin.com/in/stephen-quadras-14a4871aa
James H.,"Director, Growth Marketing @ Quantum Health | Turning strategy into pipeline in long, complex B2B sales cycles | B2B SaaS Marketing Expert","This announcement is going to inspire a lot of founders who are in the ""nobody wants to test our product"" phase right now. Keep building.",
John Babalola,"Helping Startups & Business Owners Scale with Funnels, Automation & Digital Systems","Congratulations to Zhenya, Cecilia, and Bilal for backing this vision early. This is the kind of bet that defines great investor track records.",
Dan Ashendorf,Creator of Client Acquisition System 🧙‍♂️. Love ❤️ coffee ♨️ drum n bass 🥁,This feels like a step toward a new kind of employee.,https://www.linkedin.com/in/dan-ashendorf-ba116979/
Marina Padovan,Business Administrator,Such a compelling story of persistence and product quality.,https://www.linkedin.com/in/marina-padovan-8892851/
David (Dave) Meloni,"FOUNDER & CEO RETAIL READY INSIGHTS|ADVISOR|EXECUTIVE PLACEMENT EXPERT|BOARD MEMBER|AMBASSADOR",The $75M Series A led by Accel signals that the smart money is moving heavily into the AI employee category. Viktor is leading that shift.,https://www.linkedin.com/in/david-dave-meloni-a20870b6/
Tyler Cerny,🙏 Married in Christ 🌏 International & Award-Winning Keynote Speaker 🚀 TEDx Speaker (3M+ Views) 🏆Pre-Order "The Life of Purpose"👇,The future of work keeps getting more interesting.,https://www.linkedin.com/in/tylercerny/
Dejan Travnikar,I Turn 6-Figure eCommerce Brands into 8-Figure Revenue Machines | Fractional CMO | $30M+ Generated | Meta • Google • TikTok • Email • CRO • AI,"Love the combination of ambition, grit, and results.",https://si.linkedin.com/in/dejan-travnikar
Catherine D.,"Marketing | Content | Copywriter",The vision of AI employees has been talked about for years but Viktor seems to be the first one actually delivering on that promise at scale.,
"Fara Rosenzweig, MA","VP of Marketing | Results Driven | Emmy-Award Recipient",Viktor being the AI coworker that 10x's real businesses is the kind of positioning that attracts both customers and investors simultaneously.,https://www.linkedin.com/in/fararosenzweig/
John Pearson,Avid Learner,$75M to scale an AI employee that is already generating $15M ARR. The unit economics here must be absolutely incredible for customers.,
Adi Saric,"Chief Technology Officer | AI Practitioner and Educator | Orchestrating Fintech Innovation",Not another AI tool but the first true AI employee. That distinction matters and the market traction proves customers feel the difference too.,https://www.linkedin.com/in/adisaric/
Sarah Squires,Talent // ex MSFT,Accel leading this round tells you a lot about the quality of the product and the team behind it. Smart money follows real traction.,https://www.linkedin.com/in/sesquires/
Hatim El Ghardouf,"Customer Success Manager | AI 🤖 | Saas",The AI coworker category is going to be massive and it looks like Viktor is positioning itself right at the front of that wave.,https://www.linkedin.com/in/hatimelghardouf/
Casey Copeland,Chief Marketing Officer @ Mid America Capital,This is how new categories quietly become obvious.,https://www.linkedin.com/in/caseycopeland
ELENI BLANS,Independent PR & Communications Professional,The term AI coworker suddenly feels very tangible.,https://www.linkedin.com/in/eleni-blans-823026258/
Ben Owen,"Founder & CEO, Atelic.ai | Data & AI Thought Leader | Ex-AWS, IBM, SAP | Scaling Growth & ROI with Trusted AI | Keynote Speaker",Really respect the honesty about showing products that users didn't even want to test. That kind of transparency builds real trust with people.,https://www.linkedin.com/in/benowenprofile/
Chris Neal,"Cannes Lion Director · ex-Paid Media Operator · Founder, CHALK","This is one of those stories where the struggle matters, because it makes the eventual breakthrough much more believable.",https://www.linkedin.com/in/christopherneal1/
Daniel Lindberg,"Operational Risk & Scenario Analysis Leader | ORE, Internal Loss Data, ORX, SR 15‑19, CCAR / FR Y‑14A | Open-Heart Surgery Survivor",That level of customer adoption in such a short window suggests the product is solving a real and immediate pain point.,https://www.linkedin.com/in/daniellindbergnc/
Mickey Hardy,"CEO @ Arcadia | Co-Founder @ Introduction.com | Digital Asset Consulting | Investor @ Discord, Epic, Databricks |","This is a great example of why persistence matters so much in startups, especially when the first versions do not work.",https://www.linkedin.com/in/mickey2004/
Maliha Mahjabeen,"LinkedIn Growth Strategist | Helping Founders & Coaches Grow Followers, Leads & Authority Organically | 10K+ Network","The framing of an AI coworker feels much more concrete than generic AI tooling, and that is probably why the market responded so quickly.",https://www.linkedin.com/in/malihamahjabeentashfia
Sandrine Perrier,"Executive Leadership Advisor (ICF) 🇫🇷🇬🇧🇩🇪 | Scaling, decision-making & influence in high-growth environments | Former GM & Marketing Director | Speaker & Lecturer","A strong reminder that the best products often come after a lot of wrong turns, not before them.",https://fr.linkedin.com/in/sandrine-perrier
Simi Brown,"Amazon Ads & SEM Paid Search & Paid Social - PPC. Google Ads - Amazon - Bing Ads - Facebook Ads IG Ads, Tiktok Ads, Pinterest Ads, Linkedin Ads",The fact that teams are saving time while keeping output strong is exactly the kind of practical value businesses want.,https://www.linkedin.com/in/simibrown/
Jyoti Swaroop Mohanty,"Head of Marketing & Growth | Digital Marketing Specialist | AI Product Enthusiast | Product Innovation & Marketer | Speaker | Product Development","This is exactly what people mean when they talk about product-market fit, because the demand is showing up in the numbers so clearly.",https://in.linkedin.com/in/jyotiswaroopmohanty
Farah Zia,"Turning Your Vision Into Viral Edits That Capture Attention, Spark Conversations, and Keep Viewers Coming Back For More.",The best part of this announcement is that the value proposition is obvious even to someone who is not deep into the AI space.,
Corey Clark,"Accelerating Business Growth | Strategic Marketing Expert | Fractional CMO | Entrepreneur | Leader in Corporate & Non-Profit Sectors | Event Speaker","I love that this post focuses on actual outcomes like time saved, money saved, and output maintained rather than vague technology language.",https://www.linkedin.com/in/corey-clark-strategist
Chris Madden,#1 Voice in Tech News 🏆 Podcast & AI clip specialist 🎬 1B+ views for the biggest founders and VCs in the world 🌎 Let me help you & your business go viral 🚀,This kind of traction is exactly what separates an interesting product from one that becomes essential to users.,https://www.linkedin.com/in/chrismadden365/
Anton Ossipovski,"I help founders and teams create optimal marketing - aligned with strategy, resources, and goals.","That level of growth in ten weeks is not just impressive, it is a very strong signal that the category has real momentum.",https://ee.linkedin.com/in/ossipovski
Andrew Hughes,I Help Small Business Owners and Nonprofit Executives Achieve their Goals with Effective Marketing Strategies Focused on Growth and Development | Marketing Associate at Clark & Co,This is the kind of company story that makes the future of work feel less abstract and a lot more real.,
Tom Lawrence,"Leadership Career Coach | Leadership Career Speaker | Leadership Career Author | Leadership Career Mentor",Huge respect for the team because building trust with early users is often far harder than building the first version of the product.,https://www.linkedin.com/in/tomlawrencementor/
Martin Maya,Helping Organisations To Build High-Performing BA Teams | Practitioner-led BCS Training | Real-World BA Capability,"The team clearly spent a long time getting the product right, and the payoff is visible in the strength of this launch.",https://www.linkedin.com/in/martin-maya/
Muhammad Rehan,Founder & CEO @Green Deck | Dubai Property Investment Architect | Unlocking $100B+ Real Estate Opportunities for International Investors,"What stands out is not just the funding amount, but the business outcomes already tied to the product so early in its life.",https://ae.linkedin.com/in/muhammad-rehan-16416652
Elfred Dale Patalita,"Provide accurate reports that help teams track performance, spot opportunities, and drive improvements. I also create content and explore AI tools to grow in social media management. | Reporting Manager at RevBoost",Love seeing a team turn years of uncertainty into something the market clearly values and is willing to pay for.,https://www.linkedin.com/in/elfred-dale-patalita-24a339197/
Juan Alvarez,Behavioral Data Scientist & AI Strategist Human & Animal - Author of: The Creator Loop Theory.,"That revenue ramp in such a short period is seriously compelling, especially in a category where adoption usually takes much longer Fryd",
George Lamdus,Head of Partnerships @ Loopcv | We help job seekers apply to jobs faster using AI,This is a meaningful moment for AI tooling.,https://www.linkedin.com/in/george-lamdus-49062b220
Maâmar Gomeri,"Retail & Tech | CEO @ FOR & @ myplayground.store | Strategy, Ops, Growth",A huge win for founders who kept believing.,https://fr.linkedin.com/in/ma%C3%A2mar-gomeri-23277a77
Audrey McKnight,General Manager at Venture X San Antonio Northwest,Very exciting to watch this category emerge.,https://www.linkedin.com/in/audrey-mcknight/
Ava Grace Ines,Tech Solopreneur and Creator,This is the kind of announcement that changes conversations.,https://www.linkedin.com/in/ava-grace-ines-486447273/
Vaibhav Sisinty,"Founder, GrowthSchool | On a mission to upskill 100M people globally with AI",This is what real adoption looks like.,https://in.linkedin.com/in/vaibhavsisinty
Michael Adam,Partner at M&D Solutions,Amazing to see the market respond this strongly.,
Cara Katz,"CRO for founder-led businesses | Founding Advisor | 4 Exits | Community Builder | Neurodiverse Mom",This is what happens when the right pain point gets solved.,https://www.linkedin.com/in/thecarakatz/
Abhinaya Mary Koshy,"Consultant IT Project Manager | Tinkering With AI | SQL | Jira | PowerBI | COBOL -DB2 | DotNet | AWS | Azure DevOps | Tableau","The concept is simple, but the execution is clearly hard.",https://in.linkedin.com/in/abhinaya-mary-koshy-88694734
Alastair Ferguson,Founder @ EXXA 🖥️ Empowering Sydney & Brisbane Business Owners with hassle free IT Solutions | Certified Microsoft Partner | CyberCert Level 3 Gold-Certified,This is what building in public should look like.,https://www.linkedin.com/in/exxa/
Daud Sharif,"B2B Growth Partner | Clean Sales, Marketing & Brand Systems | KPI-Driven Pipeline (Europe, Asia & MENA)",This is a huge endorsement from the market.,
Veronica Marchesan,Assistente amministrativo presso CONPAC ®,Very impressive to see revenue and impact align so well.,https://www.linkedin.com/in/veronicamarchesan/
Edgar S,"Enfoque integral basado en articular economía aplicada, justicia social y análisis estratégico con nuevas tecnologías y marketing digital, desarrollo de modelos corporativos orientados a un posicionamiento exitoso.",Really impressive to see so much value created so fast.,
Lorenzo Campolongo,Content Creator for Beliked,Such a nice example of patience meeting timing.,
"Michelle Hummel, CMO","Fractional CMO for Franchises and High-Visibility Organizations | AI-Powered Scale | AI Business Strategy Implementation | Brand & Growth Strategy Advisor for Non-Profits | Keynote and Executive Conference Speaker",Strong reminder that great products can move very quickly.,https://www.linkedin.com/in/michelleshummel
Atharva Bavkar,"Exwipro | Electrolab | Salecorodinator | Backend |",This feels much bigger than a typical funding announcement.,
Muhammad Abdullah,Senior Video Editor at EditXlabs,You can tell a lot of learning went into this win.,
Mamnoon ul hussnain,"Founder @ Puremail.ai & Targetpulse.net",Amazing to see such fast adoption.,https://pk.linkedin.com/in/mamnoon1214
Paul Seibert,"NetSuite, Shopify, BigCommerce and Klaviyo at SCG Team",This is the sort of round that validates a whole category.,https://www.linkedin.com/in/paulseibert1
Andrew Lenti,Helping organizations turn strategy into execution | Author of The Intrapreneur's Playbook | Presto PDCA SaaS,Incredible milestone. Building to $15M ARR in 10 weeks is wild.,https://www.linkedin.com/in/andrewlenti/
Adrian Borowski,Build Brand Equity,Big congratulations to the founders and team.,https://ca.linkedin.com/in/adrianboro
Rasheen W.,"Follow Me | CISSP, C|CISO, Certified Artificial Intelligence Expert - Vice President | Author | Board Member | Speaker | Join my Newsletter!",Love the humility in the journey and the confidence in the result.,https://www.linkedin.com/in/rasheenwhidbee
Jamie Yu,Growth at CodeSignal,This is a strong reminder that distribution matters.,
"Dr. Dev Ahuja, PhD",Co-founder at RTW Plus | Acquiring healthcare businesses | Healthcare Innovator & Investor,This is the kind of traction that gets attention fast.,https://uk.linkedin.com/in/devdeepahuja
Logan Charles,Business Development Manager at JKI GROUP LTD,Such a strong example of persistence paying off.,https://www.linkedin.com/in/logan-charles-15098019a/
Corinne REMY,Head of Talent chez Ageelink - Human & Digital Growth💥 Recrutez en 30 jours les meilleurs talents du Digital💥 Rencontrez vos premiers candidats en moins de 2 semaines,It is refreshing to see something this tangible in AI.,https://fr.linkedin.com/in/corinneremy
Charles B.,Entrepreneur & Advisor | AI · Fintech · Private Wealth | Founder @FlowMail Studio | Lausanne · Luxembourg,This feels like the start of a major platform.,https://www.linkedin.com/in/charlesbretn/
"D. Gargi, PhD🎖️",Storyteller | 2X 🏆 Linkedin Top Voice | Research and Analytics,So much to admire in this journey.,https://www.linkedin.com/in/gargi-datta-8a60a65/
Leonidas Papadopoulos,Building the Brain Every Company Deserves,You can feel the effort behind the outcome.,https://gr.linkedin.com/in/leonidas-papadopoulos
Nicolai von Schneider,Positioning Strategy For Top 1% Of Competitive Brands | Globally-Recognized Differentiation Strategy | Brand Agency Founder,Huge respect for the team behind this. Really impressive execution.,https://www.linkedin.com/in/nicvonschneider/
Hazel Pan,"AI | Marketing Automation & Analytics | Vibe Coding | Building Better Tools For Better Ops",This round feels very well earned.,
Jeroen Kant,Chief Commercial Officer at ComplianceWise | Building Predictable Growth & Scalable Commercial Engines,What a powerful journey from idea to scale.,https://nl.linkedin.com/in/jeroenkant/
Yassir Gazani,"AI & Digital Identity | Helping Companies Protect Identity & Prevent Fraud | Solutions Advisor EMEA - APAC @ FacePhi |",Great to see a product people genuinely love.,https://www.linkedin.com/in/yassir-gazani/
"Shubham, AI Product Specialist","Product Specialist at TestZeus | Helping teams improve QA, testing, and AI automation",What I appreciate most is that Viktor focuses on being useful rather than being impressive. Saving money and generating revenue beats flashy demos every time.,
Arnt Eriksen,"I help senior marketing leaders build remarkable brands that compound. Author of Marketing at Velocity (Kogan Page, 2027), Keynote Speaker, Advisor to C-Suite Execs",Every wrong decision and every failure along the way was just research and development for the product that would eventually generate $15M ARR.,https://uk.linkedin.com/in/arnteriksen
Aimé Loko,"Founder @Codamp™ || Growth Partner for SMEs and Corporations || But also We support companies committed to human, ethical, or environmental causes || Digital for Good 🌱",This is what happens when you build for real business outcomes instead of chasing AI benchmarks. $15M in revenue speaks louder than any technical demo.,https://www.linkedin.com/in/aimeloko/
Daniela Gagliano',"Co-Founder @ Atelier and Stories | Cultural Identity Architecture",Companies running leaner while maintaining output quality is the sustainable efficiency gain that separates real AI products from flashy demos.,https://ae.linkedin.com/in/danielagagliano
Marty Samples,Un-Influencer · Founder of Macroview & Creator of Growth OS · Helped 50+ B2B founders build repeatable growth systems · No hacks. No hype. Just systems that compound.,Accel does not lead $75M rounds on hype alone. The due diligence on Viktor must have been incredibly compelling given those early traction metrics.,https://www.linkedin.com/in/martinsamples/
Roberto J. Aguirre G.,"Chief AI Officer | Digital Transformation Leader | ML/GenAI Strategy",The speed of adoption and revenue growth tells me that Viktor solved a problem people have been desperately waiting for someone to solve properly.,
Edward Suarez,"Commercial Managing | Renewable Energy Sales | Business Development | Clean Tech Solutions | Energy Markets | Power Purchase Agreement",Love the transparency about failing multiple times. It makes the success feel earned and gives other founders permission to keep pushing.,https://www.linkedin.com/in/edwsuarez/
Emmanuel Bassey,"Sales - Relations - Partnership Expert - I support businesses in spotting new opportunities, building genuine relationships, and growing through human connections.",The AI employee category has officially arrived and Viktor is the company that made it real. Not with hype but with measurable customer outcomes.,https://www.linkedin.com/in/emmanuel-bassey-564b538/
Tiary RANAIVO,"Strategic Advisor to Investors & CEOs | Real Estate, F&B & Hospitality Ventures | Investment & Market Entry | Business Growth & Profit Optimization",Congratulations on shipping the vision you have had since 2023. Not many founders can say they actually delivered on their original thesis. This is exceptional.,
Mohamed Krizi,AI Native | CEO Wavel | I share daily AI insights to fight AI FOMO,Viktor proving that AI can source new revenue and not just cut costs is a game changer for how businesses think about AI investment decisions.,https://www.linkedin.com/in/mohamed-krizi-bb9799192/
"Greg Jones, Driving AI Business Strategies",Helping founders remove the bottlenecks capping revenue and time — without hiring more people or working longer hours | The Elite Business Strategist | Founders Freedom™,Love how clearly the value proposition comes through.,
Davide Petramala,"Head of GTM Smart Answering services @ SoundHound AI | Leadership, Start-ups",Viktor demonstrating that AI can run entire workflows autonomously without being told what to do is the leap from tool to employee everyone has been waiting for.,https://www.linkedin.com/in/davidepetramala/
Jaideep Chagger,Head of Marketing - Mindvalley Academy || Business Consultant || Speaker,Great execution creates a story like this.,https://www.linkedin.com/in/jaideep-chagger-75146215/
Marc Pickren,"CEO | CRO | CMO | GM | Executive Leader | Strategy, Operations, Growth",What I find most impressive is not the funding itself but the revenue velocity. That kind of growth only happens when the product truly delivers.,https://www.linkedin.com/in/marcpickren/
Sanjeet Kumar,Web Developer || AI & Tech Content Creator || Digital Marketing || LinkedIn Account Growth || Help to grow brands,This is the sort of result that validates years of belief.,
Philipp Schoeffmann,"Founder & Investor | 3x Dad",Feels like a true category-defining moment.,https://www.linkedin.com/in/philippschoeffmann/
Erick Ouko Nyanamba,Bridging Technology and Strategy as a Senior Software Engineer,Running 40% leaner is a stat that will make every CFO in the world sit up and take notice. Viktor is speaking the language of business.,https://www.linkedin.com/in/erick-ouko-nyanamba-03b18294/
Neeraj S.,10x AI Adoption starts with Responsible AI | Co Founder Trust3 AI | Investor | Trader,"Congratulations on this well deserved milestone. The AI employee category is real, growing fast, and Viktor is at the absolute forefront of it all.",https://www.linkedin.com/in/neerajsabharwal/
Krishnan Chandrasekharan,"Founder–Learning Without Walls | HR | Learning & OD Leader | Executive Coach | Facilitator | MCC | AI, EI & NLP Master Practitioner | Soft Skills, Activity Based Trainer | OBT| Placement Trainer | CRT| 20+ Years","Congrats on proving that the AI employee vision is not just hype. Real businesses, real savings, real revenue. That is what matters.",https://www.linkedin.com/in/drkc/
Tatiana BIMOGA,"Stratège en Image, Réputation & Brand Power | J'interviens lorsque la visibilité ne suffit plus et que l'autorité devient stratégique | DirigeantsJe ne gère pas l'image.Je gère ce que l'Histoire retiendra de vous.","The best employee does not need handholding, and apparently neither does Viktor.",https://www.linkedin.com/in/tatiana-bimoga-communication-personalbranding/
Claire C.,"Fractional CMO, GTM & PR Expert for AI, Web3, and Quantum Computing | Strategic Thinker & Hands-On Implementor","The combination of Accel's investment thesis and Viktor's proven traction creates a foundation for building something truly generational in the AI space.",
Irfan Jafrey,founder @ roosterly • somehow convinced 2200+ businesses to trust us with their marketing • GEO • ex-google,Amazing progress from a two person team to this scale.,https://www.linkedin.com/in/irfanj/
Iryna Marchuk,Content Manager at pdfFiller,"Congratulations on building something that started as an experiment and became the product that 10x's businesses. That is the dream of every founder alive.",
Philippe Caron,Président Fondateur,Building for real businesses with real measurable outcomes is the approach that separates lasting companies from temporary hype cycles. Viktor chose the right path.,
Kristen Andrews,"2x Founder & CMO | Running the Full Marketing Function at PE-Backed SaaS | Demand Gen · GTM · AI",Incredible traction for a relatively new category.,https://www.linkedin.com/in/kristen-andrews/
Spencer West,"Commercial Director | Leading High‑Performing Commercial Teams | Turning Complex Construction Challenges into Confident, Controlled Delivery",This is a very strong indicator of product quality.,
Nala Natuplag,MarTech & Marketing Automation Specialist | Creator of CoachFlow,$75M to scale an AI coworker that already has incredible market pull. The next chapter of Viktor's story is going to be even more impressive.,https://ph.linkedin.com/in/nalajoynatuplagpro
Eddy Enoma,"Founder | B2B SaaS Content Writer & Strategist | Helping Tech & AI Brands Scale with SEO & High-Converting Content | Open to collaborations","Congratulations. The framing of AI employee over AI tool is not just marketing, it reflects a genuinely different and more powerful approach to AI.",https://www.linkedin.com/in/onlinebizoffers/
Joseph Santana,"Advisor & Coach to Inclusion Leaders | Turning Inclusion into Growth, Efficiency & Shareholder Value | Chairman, CDO PowerCircle | Speaker | Host, ERG PowerTalk","Congratulations to everyone involved. The combination of customer love, revenue traction, and top tier backing makes Viktor truly special right now.",https://www.linkedin.com/in/joesantana/
Zen Spencer-Harris,I help community serving and healthcare orgs become the #1 choice in their market. Guaranteed ROI through 100% attributable marketing.,Sourcing new revenue and cutting costs simultaneously makes Viktor the rare product that pays for itself many times over almost immediately upon adoption.,https://www.linkedin.com/in/zensh/
Metro Infrasys,"Toll Management System, Highway Traffic Management System, Parking Management System, Smart City Solutions",The journey from nobody wanting to test the product to customers loving it enough to drive $15M ARR is the most powerful validation a founder can get.,
