"record_id","post_title","creator_name","post_type","post_url","mention_url","post_views","mention_views","linkedin_view_count","youtube_view_count","tiktok_view_count","threads_view_count"
"rec0C1lDvRvNvPzoJ","China is literally living in 2070 🤯","Hasan Ubermenscchh","Thread mention X","https://x.com/Ubermenscchh/status/1949725096681365950","https://x.com/Ubermenscchh/status/1949725246686466066","228","","","","",""
"rec0DzQqriQL317I7","Alamin + Base44+ Amplification X","Alamin","Amplification X","https://x.com/iam_chonchol/status/2045160210357231828","","10500","","","","",""
"rec0HGnFRgDZUYPWF","6 Best AI Tools For Presentation 🔥","","Listicle X","https://x.com/s_mohinii/status/1894001730175881618","https://x.com/s_mohinii/status/1894001730175881618","","","","","",""
"rec0I8i66ezgcQb5E","Unlock $1,500/Day as a Freelancer with Perplexity and ","Farah","Single post X","https://x.com/farah_tech_AI/status/1891796981778915364","https://x.com/farah_tech_AI/status/1891796981778915364","","","","","",""
"rec0Ig8S4KvqKlw2u","Bishal Nandi + Outbond + Amplification X","Bishal Nandi","Amplification X","https://x.com/LearnWithBishal/status/1986132697505562808","","9955","","","","",""
"rec0KFUwZ9sSNvCdp","Dipti Sharma + Base44+ Amplification X","Dipti Sharma","Amplification X","https://x.com/Diptish09/status/2045158369703694381","","18","","","","",""
"rec0Krz0nyGeM2nhj","Gamma","Alif Hossain","Thread mention X","https://x.com/alifcoder/status/1895820326866723058","https://x.com/alifcoder/status/1895820459205411218","","","","","",""
"rec0MDJkVnuSmuP3H","Aakash Verma + Lindy Linkedin","Aakash Verma","Linkedin Post","exits","","12854","","12854","","",""
"rec0N1puMB3QWdce3","Polanco | IA + Gamma+ Single post X","Polanco | IA","Single post X","https://x.com/polanco_ia/status/2024906522430677161?s=46&t=USaXP59uIrMJrR-drDF7zw","","44600","","","","",""
"rec0NIMtOXAQFSpJF","Chubby + Base44+ Amplification X","Chubby","Amplification X","https://x.com/kimmonismus/status/2031766223768195518?s=20","","24900","","","","",""
"rec0NMMapqVVzH7dE","Chidanand Tripathi + Templafy+ Amplification X","Chidanand Tripathi","Amplification X","https://x.com/thetripathi58/status/2037536400720216118?s=20","","28000","","","","",""
"rec0NOJg4DJjrI1DI","Alejandro Martinez | IA + Gamma+ Dedicated thread X","Alejandro Martinez | IA","Dedicated thread X","https://x.com/i/status/2011566364813902128","","128000","","","","",""
"rec0NUoykJlDosJ9v","What prison cells look like in some countries.🧵","Earth_Wanderer","Thread mention X","https://x.com/earth_tracker/status/1903770341207335045?s=46","https://x.com/earth_tracker/status/1903770489010741538?s=46","","","","","",""
"rec0OY29f3BWklCXd","Chidanand Tripathi + Rocket.new+ Amplification X, Amplification LI","Chidanand Tripathi","Amplification X; Amplification LI ","https://x.com/thetripathi58/status/2029599286464499875","","8687","","","","",""
"rec0PMJijW8LoXtHm","Abu siddik + Humwork+ Amplification X","Abu siddik","Amplification X","https://x.com/hey_abusiddik/status/2044456022992163175","","6750","","","","",""
"rec0QDrk7zPzW5M3Z","Mocha isn’t just an app builder — it’s the full-stack platform for the 99%. ","Manish Kumar Shah","Single post X","https://x.com/manishkumar_dev/status/1958575978105516538","","12700","","","","",""
"rec0Qb6xfJUupNy2X","GoMarble AI just reinvented paid media. 🚀","Bishal Nandi","Amplification X","https://x.com/LearnWithBishal/status/1975929821458031014","https://x.com/LearnWithBishal/status/1975929821458031014","7517","7517","","","",""
"rec0Qmjj33NlDodXx","I'm obsessed with collecting websites that feel illegal to know. The 10 best websites I've collected:","Farhan","Thread mention X","https://x.com/mhdfaran/status/1862451607029608527","https://x.com/mhdfaran/status/1862451677447836158","809","","","","",""
"rec0S0BA2DfGzMxR8","Chidanand Tripathi + Wisprflow+ Amplification X","Chidanand Tripathi","Amplification X","https://x.com/thetripathi58/status/2021630709090464116","","16100","","","","",""
"rec0SY2j6VbGClc0K","Windmill #3 InVideo","Windmill Growth","Amplification LI ","yes","","","","","","",""
"rec0Sn2yzjdEQM8yQ","Tulsi Soni + Mocha + Dedicated thread X","Tulsi Soni","Dedicated thread X","https://x.com/shedntcare_/status/2001939616723763443?s=20","","107100","","","","",""
"rec0U2K06dPPdq9Xo","PowerPoint had a 30-year head start. But Gamma just ended the race.  @MeetGamma  AI just launched 𝗚𝗮𝗺𝗺𝗮 𝟮.𝟬 — and it's changing how we think about presentations:  ✅ Instantly generate layouts and charts with AI  🖼️ Edit images natively within your slides  🌍 Support for 60+ languages","Princy Gogia","Single post X","https://x.com/therjrajesh/status/1921941001578401850","https://x.com/therjrajesh/status/1921941001578401850","","","","","",""
"rec0U8GmWr2plMtwe","Rishabh + Anam AI+ Amplification X","Rishabh","Amplification X","https://x.com/Rixhabh__/status/2023792845522694406?s=20","","1180","","","","",""
"rec0UpT9i7tx0nh8Y","Most researchers spend 8+ hours creating presentations for papers they already wrote. ","Emmanuel Tsekleves","Dedicated thread X","https://x.com/PhDtoProf/status/1933142388794347958","https://x.com/PhDtoProf/status/1933142388794347958","","","","","",""
"rec0V6Z1LnI04RjTW","Thread of stunning archeological discoveries.🧵","Colours of Bharat","Thread mention X","https://x.com/ColoursOfBharat/status/1927255054714577308","https://x.com/ColoursOfBharat/status/1927255067100328340","1000","","","","",""
"rec0WW4PG3SllrwwZ","ManualdeIA + Mocha + YouTube (dedicated video)","Parceiras INFLU","YouTube (dedicated video)","https://youtu.be/LukbMZtPQyk","","2000","","","","",""
"rec0WXJVLFZfYWEUe","AI phone agents just leveled up.","Markandey Sharma","Linkedin Post","exits","","212","","212","","",""
"rec0WiGPeEz2LpBTc","Gamma app","","Single post X","https://x.com/ecomchasedimond/status/1848747558115426467","https://x.com/ecomchasedimond/status/1848747558115426467","","","","","",""
"rec0YIL3iJN5mbYSJ","Alex Prompter + Mocha + Dedicated thread X","Alex Prompter","Dedicated thread X","https://x.com/alex_prompter/status/2002078303315009645","","7642","","","","",""
"rec0YVZGhXQZzScGc","If you enjoyed this content, i'm sure you're going to enjoy @meetgamma—the world's most powerful presentation maker.  Watch how quickly gamma.app created a presentation about the Top 15 countries by GDP in 2024:","","Thread mention X","https://x.com/theepicmap/status/1905314152455045230?t=bdsRFGfWuNxL1I7pwuxncg&s=19","https://x.com/theepicmap/status/1905314331908341974?t=6kqsPN-hJkuGWoa-x_4Idg&s=19","","","","","",""
"rec0brep0lAqoB22a","Aaliya + Base44+ Amplification X","Aaliya","Amplification X","https://x.com/aaliya_va/status/2030231243942744090?s=20","","11600","","","","",""
"rec0c79lmQvjMMgcT","","Beehiiv","Newsletter ad","exists","","","","","","",""
"rec0cH4JUnCPysHKW","🚨 BREAKING: REAL MADRID VS ATLETICO MADRID IN UCL ROUND OF 16.","Madrid Zone","Thread mention X","https://x.com/theMadridZone/status/1892896156415394033","https://x.com/theMadridZone/status/1892941244155727878","10000","","","","",""
"rec0d93I02hpjQ5TY","Markandey Sharma + Lindy+ Dedicated thread X","Markandey Sharma","Dedicated thread X","https://x.com/techbymarkandey/status/2022332757771436484","","46600","","","","",""
"rec0dRsVRQz8VZVwY","Output = Jack + FlashLabs + Amplification X","Jack","Amplification X","https://x.com/jackcoder0/status/2016965079540129913","","1008","","","","",""
"rec0dVVpV10zwZ8ZP","Introducing Caesr by ","Fakhr","Single post X","https://x.com/iamfakhrealam/status/1973060373507878954","https://x.com/iamfakhrealam/status/1973060373507878954","10600","10600","","","",""
"rec0dbGmDQCor86Qq","Ryan Hart 🚀 + Fabi AI   Amplification X","Ryan Hart 🚀","Amplification X","https://x.com/bigaiguy/status/2011114381745009050","","1144","","","","",""
"rec0erMoCOLgp2UJr","Aryan Mahajan + Lindy+ Linkedin Post","Aryan Mahajan","Giveaway post Linkedin","https://www.linkedin.com/feed/update/urn:li:activity:7428472023686852608/","","","","","","",""
"rec0ez8IaRnJbig3K","Gabriele Milan - Post #1 - LI ","Eduardo Middleton","Linkedin Post","https://www.linkedin.com/posts/gabrielemilan_rip-media-buyers-gomarble-claude-46-activity-7430684876288323584-6k0u?utm_source=share&utm_medium=member_desktop&rcm=ACoAACgfJvUB__HsLa4r1sksJXFAcj57m3RCCSQ","","8944","","","","",""
"rec0f2tdisx6lALs6","Mischa + Base44+ Linkedin Post","Mischa Collins","Linkedin Post","https://www.linkedin.com/posts/mischa-collins_nobody-warns-you-that-being-a-solo-founder-activity-7440748887641853952-Cwol/?utm_source=share&utm_medium=member_desktop&rcm=ACoAACAxWVwBhEp7S8J8NJ-MeqBlnxqORT6ZYEM","","6332","","","","",""
"rec0fU8dcgniQNXJC","Amira Zairi + Lindy + Amplification X","Amira Zairi","Amplification X","https://x.com/azed_ai/status/1991613008074928461?s=20","","2081","","","","",""
"rec0fvdoxQHX2N6Nn","Rohan Pau + Engramme+ Amplification X","Rohan Pau","Amplification X","https://x.com/rohanpaul_ai/status/2042320106265645193","","5336","","","","",""
"rec0gIlpvA4zDJO0H","Gaia just beat all the other AI call centers in one test.","Hasan Toxr","Linkedin Post","exits","","343","","343","","",""
"rec0hZbfAM3C8IfCH","You don't have to spend money on books anymore.  I am telling you about a website that has more than 22 million books and 95 million papers.  Best of all, you can download everything for Free:  [🔖 A must-bookmark for everyone]⇣","Bishal Nandi","Thread mention X","https://x.com/LearnWithBishal/status/1868615299651793128","https://x.com/LearnWithBishal/status/1868615324989354393","4900","","","","",""
"rec0iqkI48g9xKnKO","Tech is so WILD","kamran Hassan","Thread mention X","https://x.com/Rana_kamran43/status/1883109843973947579","https://x.com/Rana_kamran43/status/1883109872260268538","","","","","",""
"rec0ir8xnqEGoRDGA","Bishal Nandi + Gamma+ Single post X","Bishal Nandi","Single post X","https://x.com/learnwithbishal/status/2028506664153059382","","23700","","","","",""
"rec0j1gRmgbuXjGK6","If you enjoyed this content, I'm sure you're going to enjoy @meetgamma.  50M+ users are already using Gamma not only to create AI presentations, but also websites, social media content, documents, and more.  🔗 gamma.app","","Thread mention X","https://x.com/nevertellmeodd/status/1913915920231125400?t=WbpONft4ap8WjI5dDn4pxw&s=19","https://x.com/nevertellmeodd/status/1914105843043483925?t=G2bnQsT5GWY5pOjHavLe0g&s=19","1000","","","","",""
"rec0jWIF6gtEagdYe","Farhan + Lindy+ Amplification X","Farhan","Amplification X","https://x.com/mhdfaran/status/2021317698202788139","","933","","","","",""
"rec0krV49qRI4F8aK","Sanchit Shangari + Wisprflow+ Amplification LI","Sanchit Shangari","Amplification LI ","https://www.linkedin.com/posts/aiwithsanchit_typing-is-slowing-you-down-you-think-at-activity-7427404859978625024-GJDI?utm_source=share&utm_medium=member_desktop&rcm=ACoAAB8jdBUBf-azWKLYNjGtUBIGRVej-qlc68k","","3114","","","","",""
"rec0ljp1Xgq6O2TDn","Tech With Tim + Mocha+ YouTube (dedicated video)","Tech With Tim","YouTube (dedicated video)","https://youtu.be/h7h-ShDI3-Y","","20000","","","","",""
"rec0lopJWCuYqsQ8l","Jay Bisen + Wisprflow+ Amplification LI","Jay Bisen","Amplification LI ","https://www.linkedin.com/posts/jay-bisen_what-if-typing-became-optional-wispr-activity-7427607635518173184-PiHq","","1303","","","","",""
"rec0mavXE2HieWZJ5","Stop spending hours building websites from scratch.","Pradeep Pandey","Dedicated thread X","https://x.com/Div_pradeep/status/1883072250028691628","https://x.com/Div_pradeep/status/1883072300578480367","","","","","",""
"rec0n45IoTUvXmWBH","99% will waste their next afternoon on slides (again). /𝘈𝘥 ","Victoria Effer","Linkedin Post","exits","","8692","","8692","","",""
"rec0nJP9H7IEfv3hV","Fascinating relics from history's forgotten chapters","India Tales","Thread mention X","https://x.com/indiatales7/status/1952920125046440421?s=46","https://x.com/indiatales7/status/1952920237789131117?s=46","528600","11300","","","",""
"rec0nYMr6DVGnWJYH","🚨 BREAKING: The Canva moment for content creation is here.","D-Coder","Dedicated thread X","https://x.com/Damn_coder/status/1983442979202498927","https://x.com/Damn_coder/status/1983443051763905011","28900","143","","","",""
"rec0narKr5lxuAg7U","Cory Blumenfeld + Templafy + Linkedin Post","Cory Blumenfeld ","Linkedin Post","https://www.linkedin.com/posts/coryblumenfeld_ive-stopped-building-client-presentations-activity-7445100170293174272-otiJ","","14551","","","","",""
"rec0nfOVwQhEKu6Wq","Aakash Kanojiya + Gamma + Dedicated thread X","Aakash Kanojiya","Dedicated thread X","https://x.com/Kanojiyaaakash1/status/1996639579496120571","","20300","","","","",""
"rec0o8ItQwmkrsXYn","✅ Aryan Mahajan + Rocket.new+ Giveaway post X","Aryan Mahajan","Giveaway post X","https://x.com/aryanXmahajan/status/2044140086691082515?s=20","","7645","","","","",""
"rec0ojbOiLY1qVORN","Spencer Baggins + Rocket.new+ Amplification X","Ryan Hart 🚀","Amplification X","https://x.com/bigaiguy/status/2041559894612979971","","1236","","","","",""
"rec0p4hRTT6iVYbqv","Chase Dimond","Chase Dimond","Giveaway post Linkedin","https://www.linkedin.com/posts/chasedimond_most-meta-ad-spy-tools-show-you-what-your-ugcPost-7442622002068295680-VOtE","","2614","","","","",""
"rec0ppWO6z0dx7TjO","15 Most Dangerous Jobs in the World ~ A Thread🧵","The Adventurous Soul","Thread mention X","https://x.com/TAdventurousoul/status/1915054624144539715?t=E_e5GHONBglHLXPyfzN9qw&s=19","https://x.com/TAdventurousoul/status/1915054772983615707?t=JAeLgGSNvT-W2DSsNVmqoA&s=19","659500","","","","",""
"rec0rPfHm4qwpSr8H","This is one of the truly useful everyday life use cases of AI.","Rohan Pau","Dedicated thread X","https://x.com/rohanpaul_ai/status/1901607624166289747","https://x.com/rohanpaul_ai/status/1901607624166289747","","","","","",""
"rec0rXhGrRpMgmgBk","Every missed call is a missed opportunity.","Chidanand Tripathi","Linkedin Post","https://x.com/thetripathi58/status/1978873012406649115","https://x.com/thetripathi58/status/1978873064399200723","64503","","64503","","",""
"rec0reZXR9PZ0vRp8","Atul Kumar + Crunched + Amplification X","Atul Kumar","Amplification X","https://x.com/atulkumarzz/status/1980794661783630189","","5694","","","","",""
"rec0rgWojY0Kocw1o","Salma X Gamma","Salma","Single post X","https://x.com/Salmaaboukarr/status/1963707718482735220","https://x.com/Salmaaboukarr/status/1963707718482735220","1744","1714","","","",""
"rec0rtz2JTLYhPXlG","Facts about Japanese people ","ghotai","Thread mention X","https://x.com/aiwithghotai/status/1925571146038354128?s=46&t=mH4qI38aTNVo7q8VeHDEEg","https://x.com/aiwithghotai/status/1925571293535248759?s=46&t=mH4qI38aTNVo7q8VeHDEEg","1000","","","","",""
"rec0tR0nmSRXUmnC6","Tulsi Soni + Lindy + Amplification X","Tulsi Soni","Amplification X","https://x.com/shedntcare_/status/1991699423827808604","","10100","","","","",""
"rec0u0iUQX67cFY2D","SantrexAI + Rocket.new+ Amplification X","SantrexAI","Amplification X","https://x.com/Code_SantrexAI/status/2041557669946015841","","5507","","","","",""
"rec0uS2w8UVNQisFU","Nayeem Sheikh + Hey Noah AI+ Amplification X","Nayeem Sheikh","Amplification X","https://x.com/HeyNayeem/status/2032136600604590214","","28400","","","","",""
"rec0uWJcL785aYRA5","Physics","","Thread mention X","https://x.com/nevertellmeodd/status/1892928270443905086?t=UoB8M0JeaV6WgmUhgk7a5Q&s=19","https://x.com/nevertellmeodd/status/1892975339015446711?t=XcPVo7VvhGKvOFHXBFI1rA&s=19","324","","","","",""
"rec0xCjLTTrQBhSks","Use Meet Gamma ","Hamza Khalid","Dedicated thread X","https://x.com/whizz_ai/status/1892490202847072650?s=46","https://x.com/whizz_ai/status/1892490580862915057?s=46","","","","","",""
"rec0xTpqUbm4emDZn","Nayeem Sheikh + Lindy+ Amplification X","Nayeem Sheikh","Amplification X","https://x.com/HeyNayeem/status/2021459393527808224","","15600","","","","",""
"rec0yH5PSq2RBylDg","Alexander Inspira IA + Base44+ Amplification X","Alexander Inspira IA","Amplification X","https://x.com/alex_inspira/status/2029939679991042418?s=46&t=USaXP59uIrMJrR-drDF7zw","","20400","","","","",""
"rec0zfs1KrwOvMsCU","Adina + Base44+ Amplification X","Adina","Amplification X","https://x.com/Adina_Coder/status/2031774170078650870?s=20","","7347","","","","",""
"rec105pfrxONmkaBf","The 14 Most Successful Family Businesses Ever:","Hasan Ubermenscchh","Thread mention X","https://x.com/Ubermenscchh/status/1925960152693256623","https://x.com/Ubermenscchh/status/1925960480792732120","751","","","","",""
"rec11BrmH8iui4niG","Gen Z doesn’t use PowerPoint!  They use AI to create presentations in seconds  Here’s how you can too: 👇","Arsalan Khan","Dedicated thread X","https://x.com/AIwithArsalan/status/1925133303478399316","https://x.com/AIwithArsalan/status/1925133414665269399","","","","","","127"
"rec11YqZqAAa9LnVz","Deja de diseñar contenido como si estuviéramos en 2015.","Enzo Sanchez | IA","Dedicated thread X","https://x.com/EnzoSanchezIA/status/1979602959072743489","https://x.com/EnzoSanchezIA/status/1979603216485499273","87300","3007","","","",""
"rec11lzn59MxhAEh6","10+ years of experience. Still got replaced.","Ali Sufian","Thread mention X","https://x.com/aliscodes/status/1927286450594177219","https://x.com/aliscodes/status/1927286475034423325","","","","","",""
"rec11zQsTb3ITbsUK","Aaliya + Mocha","","Dedicated thread X","https://x.com/aaliya_va/status/1980228563803820526","https://x.com/aaliya_va/status/1980228597521748198","32100","","","","",""
"rec132gB3Mr78c1Ky","Captains","Madrid Zone","Thread mention X","https://x.com/theMadridZone/status/1955307019549675726","https://x.com/theMadridZone/status/1955361219923288487","291500","46200","","","",""
"rec132gS2gBNn5SED","Don Quijote 𝕏 & IA + Crunched + Amplification X","Don Quijote 𝕏 & IA","Amplification X","https://x.com/IA_Quijote/status/1980335751612219610","https://x.com/IA_Quijote/status/1980335751612219610","17700","","","","",""
"rec13HXgurXYvpATH","A map of the gulf of Mexico","","Thread mention X","https://x.com/theepicmap/status/1882140370370511035?t=dmTk2_QUO1-oEuADCV276Q&s=19","https://x.com/theepicmap/status/1882146197563183345?t=9zDB6kxgcmdydH-iLezL1g&s=19","163000","","","","","7594"
"rec14aiFYNFivoNrf","Vipin Gautam (Viipin I Gautam) + FlashLabs + Amplification X","Vipin Gautam (Viipin I Gautam)","Amplification X","https://x.com/viipin8/status/2016896305248031048","","34600","","","","",""
"rec15c9Cm3qERvCCt","Output = Saidul + Tracelight + Amplification X, Amplification LI","Saidul","Amplification X; Amplification LI ","https://x.com/saidul_dev/status/2014524897285042632","","8596","","","","",""
"rec16HaaZg4zyQOVi","Chase Dimond + GoMarble AI+ Linkedin Post  Excited to share how GoMarble AI is transforming the way marketers approach email campaigns! 🚀 As someone who’s passionate about leveraging cutting-edge tools, I’ve been impressed by GoMarble AI’s ability to automate content creation, personalize messaging at scale, and drive higher engagement rates. If you’re looking to streamline your email marketing and see real results, it’s definitely worth checking out. #EmailMarketing #AI #GoMarbleAI","Chase Dimond","Linkedin Post","https://www.linkedin.com/feed/update/urn:li:activity:7452755727279882240/","","","","","","",""
"rec16jpb31X9eMy7p","Still creating slides manually? There's an AI for that!","AshutoshShrivastava","Dedicated thread X","https://x.com/ai_for_success/status/1909426068534210931","https://x.com/ai_for_success/status/1909426072627658985","862","","","","",""
"rec177O4o8a4eUlpv","Alex Prompter + Outbond   Amplification X","Alex Prompter","Amplification X","https://x.com/alex_prompter/status/1986408616912462190","","2498","","","","",""
"rec1792KA5NuUdOrL","Places on Earth that look too magical to be real🧵","Earth_Wanderer","Thread mention X","https://x.com/earth_tracker/status/1915247804747829442?s=46","https://x.com/earth_tracker/status/1915247887639863304?s=46","","","","","",""
"rec17ATsXs35qFAdD","el.cine + Base44+ Amplification X","el.cine","Amplification X","https://x.com/ehuanglu/status/2038749084744601961?s=46","","5078","","","","",""
"rec17UipRGa3nDdpv","AI phone agents just got an upgrade. ","Dhaval Makwana","Amplification X","https://x.com/heyDhavall/status/1973815152106745968","https://x.com/heyDhavall/status/1973815152106745968","808","808","","","",""
"rec1BIUVh8iwlgLft","Stop thinking you need U.S. citizenship for remote jobs!  Use these 8 AI tools to land your dream job in the next 30 days.  Open 🧵","Adarsh Chetan","Thread mention X","https://x.com/adarshchetan/status/1904526221456916703?s=46","https://x.com/adarshchetan/status/1904526307301683535?s=46","","","","","",""
"rec1BsJkRzT9SPxCn","Dedicated thread ","Farah","Dedicated thread X","https://x.com/farah_tech_ai/status/1924015316709015785?s=46&t=mH4qI38aTNVo7q8VeHDEEg","https://x.com/farah_tech_ai/status/1924015316709015785?s=46&t=mH4qI38aTNVo7q8VeHDEEg","","","","","",""
"rec1CJ8eCmZSPq6Hi","Mocha just changed the game.","Aakash Verma","Single post X","https://x.com/VermaAakash3/status/1958573422880940316","","3864","","","","",""
"rec1DBW9KUv6RSRK4","The 20 Best Survival Tips and Tricks You’ve Probably Never Seen Before:  ","Amit","Thread mention X","https://x.com/HeyAmit_/status/1895375951640297633","https://x.com/HeyAmit_/status/1895375955566182899","10000","","","","",""
"rec1DL1dZhA7OXKB6","Md. Robius Sany + Humwork+ Amplification X","Md. Robius Sany","Amplification X","https://x.com/tec_sany/status/2044450067910983873","","0","","","","",""
"rec1E4NCvVj1BVTwU","kamran Hassan + Base44+ Amplification X","kamran Hassan","Amplification X","https://x.com/Rana_kamran43/status/2038671555425882523","","4690","","","","",""
"rec1HAEQGQvzGsGa8","Fiverr + Perplexity + Gamma = Money","Fakhr","Dedicated thread X","https://x.com/iamfakhrealam/status/1893242254703370455","https://x.com/iamfakhrealam/status/1893242321204060400","","","","","",""
"rec1IS2CRtp7YmMcu","Presentations with Gamma are a absolute game changer!  ","Chubby","Single post X","https://x.com/kimmonismus/status/1903159682988118442","https://x.com/kimmonismus/status/1903159682988118442","579","","","","",""
"rec1IiNX4ceXPC4VS","World under a microscope ~ A Thread 🧵","Lost Temples","Thread mention X","https://x.com/LostTemple7/status/1937348864803242132?t=l7f1AU8wWu3gkjopWZA4NA&s=19","https://x.com/LostTemple7/status/1937348981119492469?t=4_E1mjxO8wWdJuHBin2Buw&s=19","8900","","","","",""
"rec1IopusskrbdKI5","Gamma ","Neel Shah","Dedicated thread X","Neel Shah","https://x.com/codedailyML/status/1851119422166970405","","","","","",""
"rec1JVDU279e3rHjT","Más de 50 MILLONES de usuarios no pueden estar equivocados.","Don Quijote 𝕏 & IA","Dedicated thread X","https://x.com/IA_Quijote/status/1970095774395457764","https://x.com/IA_Quijote/status/1970097172860518476","123600","6201","","","",""
"rec1Kzmg5FWQflusC","Thread of Cool Maps That Will Make You Amazed 🧵","Earth_Wanderer","Thread mention X","https://x.com/earth_tracker/status/1906319337553834314?s=46","https://x.com/earth_tracker/status/1906319455547969646?s=46","3700","","","","",""
"rec1LpDwF4TfNq3rN","You can now build a stunning landing page in seconds with @MeetGamma — no coding, no hassle. ","Md Riyazuddin","Dedicated thread X","Md Riyazuddin","https://x.com/riyazmd774/status/1850092172923601024?t=yr8XFvo0w0P7enS81J4tow&s=19","","","","","",""
"rec1MOS82MI09pxOv","Beautiful Illustration of Childhood Before Technology ❤️ 🧵","Lost Temples","Thread mention X","https://x.com/LostTemple7/status/1904503461472809215","https://x.com/LostTemple7/status/1904503562505441560","","","","","",""
"rec1N0VhSfbouxmYO","Nick Shackelford - Post #2 - X","Nick Shackelford","Single post X","https://x.com/iamshackelford/status/2023777972617179155?s=46","","5009","","","","",""
"rec1NFS4V8tjkF9yV","Gamma App","ZOYA ✪","Thread mention X","https://x.com/Zoya_ai/status/1847305112777326680","https://x.com/Zoya_ai/status/1847305117395275975","348","","","","",""
"rec1OJARQD8ZgBo2E","AI Frontliner + Hey Noah AI+ Amplification X","Future Stacked","Amplification X","https://x.com/aifrontliner/status/2034303510347460770?s=46","","5544","","","","",""
"rec1OnmugRpV88orK","Aaliya + Outbond + Amplification X","Aaliya","Amplification X","https://x.com/aaliya_va/status/1986141055549645304","https://x.com/aaliya_va/status/1986141055549645304","5075","","","","",""
"rec1QCZjmoFDLzOKT","Simply  + Humwork+ Amplification X","Simply ","Amplification X","https://x.com/i/status/2044453949478986154","","0","","","","",""
"rec1QHsZeUML8XU6W","Alejo + Rocket.new+ Amplification X","Alejo","Amplification X","https://x.com/ecommartinez/status/2029597086950256955","","29100","","","","",""
"rec1S6n2Wb80qpa6w","🚨 This AI replaced my design team, ad agency, and frontend dev.","Farhan","Single post X","https://x.com/mhdfaran/status/1940366909284978694","https://x.com/mhdfaran/status/1940366926800420936","","","","","",""
"rec1SMjD854GbRy6I","Thread of what the world looked like a century ago🧵","Vertigo_Warrior","Thread mention X","https://x.com/VertigoWarrior/status/1929383653714403525","https://x.com/VertigoWarrior/status/1929383663982022808","461","","","","",""
"rec1TIhPXHr1CiI4d","🚨 Stop burning hours (and $$$) on Canva, Figma, or pricey freelancers.","","Single post X","https://x.com/iamjordan/status/1947614682078147040","https://x.com/iamjordan/status/1947614682078147040","23000","23000","","","",""
"rec1TNHIKI68iSdjY","Guilherme Costa","Guilherme Costa","Linkedin Post","https://www.linkedin.com/posts/guicostavc_i-just-got-a-complete-meta-google-ads-audit-activity-7397725511239733248-6sYM?utm_source=share&utm_medium=member_desktop&rcm=ACoAADFTeRkBpsNIzZ4XJDCae2t_VTYwPSAvY4U","","1764","","","","",""
"rec1Tt4oxxweakGVB","Alamin + Mutiny+ Amplification X","Alamin","Amplification X","https://x.com/iam_chonchol/status/2041555179762585978","","11100","","","","",""
"rec1UZJtNOrL45Iae","Igor Buinevici  + Hey Noah AI+ Amplification LI , Amplification X","Igor Buinevici ","Amplification LI ; Amplification X","https://x.com/i/status/2034303714169663629","","823","","","","",""
"rec1UaaJSE19UMfXd","Transform your second brain into something visually stunning. Gamma now automatically supports Notion pages. Here's how you can turn any Notion page into a beautiful presentation, landing page or document in less than a minute:","Aftahi Rahman","Single post X","https://x.com/aftahi_ai/status/1957672912779137124","https://x.com/aftahi_ai/status/1957672912779137124","3960","3961","","","",""
